category,fuel,unit,kg_co2e,type
Gaseous fuels,Butane,tonnes,3033.38,fuel
Gaseous fuels,Butane,litres,1.75,fuel
Gaseous fuels,Butane,kWh (Net CV),0.24,fuel
Gaseous fuels,Butane,kWh (Gross CV),0.22,fuel
Gaseous fuels,CNG,tonnes,2562.57,fuel
Gaseous fuels,CNG,litres,0.45,fuel
Gaseous fuels,CNG,kWh (Net CV),0.2,fuel
Gaseous fuels,CNG,kWh (Gross CV),0.18,fuel
Gaseous fuels,LNG,tonnes,2581.98,fuel
Gaseous fuels,LNG,litres,1.17,fuel
Gaseous fuels,LNG,kWh (Net CV),0.2,fuel
Gaseous fuels,LNG,kWh (Gross CV),0.18,fuel
Gaseous fuels,LPG,tonnes,2939.36,fuel
Gaseous fuels,LPG,litres,1.56,fuel
Gaseous fuels,LPG,kWh (Net CV),0.24,fuel
Gaseous fuels,LPG,kWh (Gross CV),0.21,fuel
Gaseous fuels,Natural gas,tonnes,2562.57,fuel
Gaseous fuels,Natural gas,cubic metres,2.04,fuel
Gaseous fuels,Natural gas,kWh (Net CV),0.2,fuel
Gaseous fuels,Natural gas,kWh (Gross CV),0.18,fuel
Gaseous fuels,Natural gas (100% mineral blend),tonnes,2581.98,fuel
Gaseous fuels,Natural gas (100% mineral blend),cubic metres,2.05,fuel
Gaseous fuels,Natural gas (100% mineral blend),kWh (Net CV),0.2,fuel
Gaseous fuels,Natural gas (100% mineral blend),kWh (Gross CV),0.18,fuel
Gaseous fuels,Other petroleum gas,tonnes,2578.75,fuel
Gaseous fuels,Other petroleum gas,litres,0.94,fuel
Gaseous fuels,Other petroleum gas,kWh (Net CV),0.2,fuel
Gaseous fuels,Other petroleum gas,kWh (Gross CV),0.18,fuel
Gaseous fuels,Propane,tonnes,2997.63,fuel
Gaseous fuels,Propane,litres,1.54,fuel
Gaseous fuels,Propane,kWh (Net CV),0.24,fuel
Gaseous fuels,Propane,kWh (Gross CV),0.21,fuel
Liquid fuels,Aviation spirit,tonnes,3193.69,fuel
